Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,"Bahamas, The",BHS,8120707788,8125666981,8284253601,9003700470,9236192251,9667837295,9717822491,9117290789,9145158227,9150910394,9720350965,9448680216,9850853578,10297082626,10407458082,10904438997,11100177202,11698187434,8810633686,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Bahrain,BHR,6689106384,7836780373,9237354471,11038704440,12831028206,15623404248,17469763748,15503025977,17057341064,15952734763,21200861879,21987210387,22809624756,23705313737,25655048198,27648765506,28228876805,29045694429,26245086411,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Bangladesh,BGD,52443711581,57718616044,62716506925,66897237097,69265458088,77484504699,90520968068,1.01854E+11,1.147E+11,1.27052E+11,1.32689E+11,1.48533E+11,1.68293E+11,1.90516E+11,2.14724E+11,2.38042E+11,2.62889E+11,3.12361E+11,3.34747E+11,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Barbados,BRB,2698733026,2770398385,2972480169,3271931290,3531246709,3994664371,4036244014,3827496435,3943064787,3851642632,3935892569,3992402150,4007546126,4016263534,4104182046,4236726338,4327448754,4489740643,3736790369,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Belarus,BLR,12595751966,15445645053,19919014961,26129596141,31758417574,38638495952,51518780982,43015481200,48083208434,52174673727,54741413265,61969508041,65388946202,46274723260,38931652020,44946828614,49128899661,53025555442,48291021805,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Belgium,BEL,2.18244E+11,2.67518E+11,3.09954E+11,3.22257E+11,3.40914E+11,3.92551E+11,4.31307E+11,3.96222E+11,3.95173E+11,4.21483E+11,4.10892E+11,4.32083E+11,4.42744E+11,3.81307E+11,3.90682E+11,4.12236E+11,4.46414E+11,4.39831E+11,4.21258E+11,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Belize,BLZ,719200124.9,747081338.5,777642791,821201402.5,871286172.3,871626276.7,893768478.4,971703114.3,948399287.7,1028447032,1090096120,1158681865,1231107753,1349944910,1388913673,1426993933,1443657536,1495857800,1280228770,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Benin,BEN,3510914345,4521142650,5259453502,5627446204,6024673131,7014358631,8415973685,8297569545,8092548350,9176217799,9660107245,11027802817,11769996954,10136365164,10528628308,11210188927,12580552033,12674161809,13740430755,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Bhutan,BTN,461349362.2,527392023.7,597670014.1,705686501.7,776576859.7,1012360069,1049535054,1043235296,1263352305,1447534406,1436969877,1443380915,1565354940,1625361579,1716612753,1968937033,1989540929,2051715786,1915584351,..
