Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Israel,ISR,76.60731707,78.95365854,81.70487805,82.05609756,82.15365854,82.05121951,82.40731707,82.55121951,82.80243902,82.80487805,82.7,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Italy,ITA,76.97073171,79.77804878,82.23902439,82.6902439,83.0902439,82.54390244,83.24390244,82.94634146,83.34634146,83.49756098,82.34390244,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jamaica,JAM,72.304,70.944,73.433,73.412,72.982,72.394,72.02,71.911,71.793,71.767,71.869,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Japan,JPN,78.83682927,81.07609756,83.09609756,83.33195122,83.58780488,83.79390244,83.98487805,84.0997561,84.21097561,84.35634146,84.61560976,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jordan,JOR,69.854,71.918,74.366,74.562,74.789,75.011,75.215,75.502,75.774,76.044,75.184,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kazakhstan,KAZ,68.33658537,65.45,69.52,70.62,71.44,71.97,72.41,72.95,73.15,73.18,71.37,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kenya,KEN,58.614,54.411,61.115,61.389,61.816,61.892,62.163,62.481,62.676,62.943,62.675,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kiribati,KIR,60.917,64.409,65.378,65.588,65.815,66.059,66.332,66.597,66.855,67.15,67.266,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Dem. People's Rep.",PRK,70.21,60.763,71.626,72.319,72.942,72.784,72.805,72.978,73.031,73.198,73.274,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Rep.",KOR,71.59756098,75.9097561,80.8195122,81.27073171,81.72195122,82.02439024,82.27560976,82.62682927,82.62682927,83.22682927,83.42682927,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kosovo,XKX,70.917,74.072,78.28,78.587,78.88,78.922,78.981,78.783,78.696,79.022,76.567,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kuwait,KWT,73.281,76.722,78.812,79.164,79.445,79.562,79.701,79.781,79.722,79.685,76.92,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kyrgyz Republic,KGZ,68.29756098,68.55853659,70.00243902,70.20243902,70.40243902,70.65121951,70.95121951,71.2,71.4,71.6,71.8,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lao PDR,LAO,53.713,58.378,65.355,65.718,66.361,66.67,67.167,67.434,67.634,68.138,68.497,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latvia,LVA,69.27317073,70.31463415,73.77804878,73.98292683,74.12439024,74.4804878,74.5804878,74.62926829,74.78292683,75.38780488,75.38780488,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lebanon,LBN,64.475,73.931,78.628,78.765,78.973,79.229,79.505,79.654,79.729,79.236,77.804,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lesotho,LSO,59.398,48.427,47.835,49.002,50.033,51.101,52.264,53.064,53.733,54.173,54.693,..
